Distance (m),Depth (m)
0.0,1.0528121012571319
0.25,0.9158177678518763
0.5,0.9286237020051592
0.75,0.9427014441210728
1.0,0.9585576256915456
1.25,0.9771369289996956
1.5,1.0005988791230405
1.75,1.0364480768302151
2.0,1.2804770530598704
2.25,1.2755979881560404
2.5,1.2705948198579908
2.75,1.2654587800482382
3.0,1.260180030952484
3.25,1.254747474180233
3.5,1.2491485137587368
3.75,1.2433687588913709
4.0,1.2373916466438573
4.25,1.2311979566130673
4.5,1.2247651773633736
4.75,1.218066665498069
5.0,1.2110705082801188
5.25,1.2037379518385483
5.5,1.196021174442944
5.75,1.187860039243827
6.0,1.1791771937818485
6.25,1.1698703640649837
6.5,1.1597996113470468
6.75,1.1487648851626078
7.0,1.1364631189713654
7.25,1.1223966813094606
7.5,1.1056447089037587
7.75,1.0841313974399218
8.0,1.0508860402005844
8.25,0.8825451708794707
8.5,0.8930078808004656
8.75,0.9040934421910143
9.0,0.9159433654624789
9.25,0.9287605112440326
9.5,0.9428534016371152
9.75,0.9587315428052858
10.0,0.9773464651275559
10.25,1.0008794366278393
10.5,1.0369616094056988
10.75,1.303957923538953
11.0,1.2996101987594406
11.25,1.2951715546051885
11.5,1.2906367945464623
11.75,1.286000213989917
12.0,1.2812555282833469
12.25,1.2763957870954459
12.5,1.271413271889084
12.75,1.266299372231901
13.0,1.2610444353638959
13.25,1.255637581619365
13.5,1.2500664757566962
13.75,1.2443170406430728
14.0,1.2383730945403437
14.25,1.2322158855962193
14.5,1.225823485679171
14.75,1.2191699880883746
15.0,1.2122244259176074
15.25,1.2049492827977843
15.5,1.19729839209508
15.75,1.1892138886006893
16.0,1.1806216356120631
16.25,1.171424085762943
16.5,1.1614885796859067
16.75,1.150626965677407
17.0,1.138557218110833
17.25,1.1248231901044514
17.5,1.1086000988623557
17.75,1.0881021915985716
18.0,1.0578541999273943
18.25,0.9659463235146071
18.5,0.9861822535935488
18.75,1.013193153769555
19.0,1.0639156277965802
19.25,0.9982506986777809
19.5,1.0322662050945903
19.75,1.1760256191223553
20.0,1.1664720964756965
20.25,1.1560936548101564
20.5,1.1446609622598913
20.75,1.1318178727740222
21.0,1.1169582927870496
21.25,1.0988956071650016
21.5,1.074664507508252
21.75,1.0312953389454993
22.0,1.1625895539490552
22.25,1.151838151644745
22.5,1.1399150630120198
22.75,1.1263889173166344
23.0,1.1104908279706314
23.25,1.0905962233261859
23.5,1.061978179777334
23.75,0.9896911814121179
24.0,1.018407448383406
24.25,1.0798635541661774
24.5,1.042687759714752
